dataset_id,item_id,mode,correct,invalid_format,latency_ms,confidence
gsm8k,gsm8k_1214,baseline,0,0,756,1.0
gsm8k,gsm8k_1214,improved,0,0,1087,0.6666666666666666
gsm8k,gsm8k_1214,standard,0,0,3766,1.0
gsm8k,gsm8k_57,baseline,0,0,1452,1.0
gsm8k,gsm8k_57,improved,0,0,3107,0.3333333333333333
gsm8k,gsm8k_57,standard,0,0,7022,0.5
gsm8k,gsm8k_906,baseline,0,0,1412,1.0
gsm8k,gsm8k_906,improved,0,0,4615,0.6666666666666666
gsm8k,gsm8k_906,standard,0,0,8916,1.0
gsm8k,gsm8k_1252,baseline,0,0,775,1.0
gsm8k,gsm8k_1252,improved,0,0,2693,0.6666666666666666
gsm8k,gsm8k_1252,standard,0,0,5485,1.0
gsm8k,gsm8k_618,baseline,0,0,777,1.0
gsm8k,gsm8k_618,improved,0,0,1078,1.0
gsm8k,gsm8k_618,standard,0,0,6246,1.0
gsm8k,gsm8k_599,baseline,0,0,1906,1.0
gsm8k,gsm8k_599,improved,0,0,5850,0.6666666666666666
gsm8k,gsm8k_599,standard,0,0,8956,1.0
gsm8k,gsm8k_289,baseline,0,0,841,1.0
gsm8k,gsm8k_289,improved,0,0,3816,0.6666666666666666
gsm8k,gsm8k_289,standard,0,0,6647,1.0
gsm8k,gsm8k_608,baseline,0,0,3015,1.0
gsm8k,gsm8k_608,improved,0,0,5368,0.3333333333333333
gsm8k,gsm8k_608,standard,0,0,9138,1.0
gsm8k,gsm8k_400,baseline,0,0,2330,1.0
gsm8k,gsm8k_400,improved,1,0,2946,0.3333333333333333
gsm8k,gsm8k_400,standard,1,0,5660,1.0
gsm8k,gsm8k_237,baseline,0,0,772,1.0
gsm8k,gsm8k_237,improved,0,0,1661,0.6666666666666666
gsm8k,gsm8k_237,standard,0,0,5237,1.0
gsm8k,gsm8k_616,baseline,0,0,2184,1.0
gsm8k,gsm8k_616,improved,0,0,4917,0.3333333333333333
gsm8k,gsm8k_616,standard,0,0,8478,1.0
gsm8k,gsm8k_672,baseline,0,0,910,1.0
gsm8k,gsm8k_672,improved,0,0,1091,1.0
gsm8k,gsm8k_672,standard,0,0,3666,1.0
gsm8k,gsm8k_1132,baseline,0,0,852,1.0
gsm8k,gsm8k_1132,improved,0,0,1362,0.3333333333333333
gsm8k,gsm8k_1132,standard,0,0,4206,1.0
gsm8k,gsm8k_463,baseline,0,0,1649,1.0
gsm8k,gsm8k_463,improved,0,0,3147,0.6666666666666666
gsm8k,gsm8k_463,standard,0,0,6996,1.0
gsm8k,gsm8k_222,baseline,0,0,1414,1.0
gsm8k,gsm8k_222,improved,0,0,6457,0.3333333333333333
gsm8k,gsm8k_222,standard,0,0,10618,1.0
gsm8k,gsm8k_945,baseline,0,0,1321,1.0
gsm8k,gsm8k_945,improved,0,0,1693,1.0
gsm8k,gsm8k_945,standard,0,0,5235,1.0
gsm8k,gsm8k_238,baseline,0,0,942,1.0
gsm8k,gsm8k_238,improved,0,0,3033,0.6666666666666666
gsm8k,gsm8k_238,standard,0,0,5222,1.0
gsm8k,gsm8k_730,baseline,0,0,1579,1.0
gsm8k,gsm8k_730,improved,0,0,1530,0.6666666666666666
gsm8k,gsm8k_730,standard,0,0,6586,1.0
gsm8k,gsm8k_55,baseline,1,0,877,1.0
gsm8k,gsm8k_55,improved,1,0,1414,1.0
gsm8k,gsm8k_55,standard,1,0,5804,1.0
gsm8k,gsm8k_772,baseline,0,0,2206,1.0
gsm8k,gsm8k_772,improved,0,0,3651,0.6666666666666666
gsm8k,gsm8k_772,standard,0,0,7643,0.5
gsm8k,gsm8k_176,baseline,0,0,765,1.0
gsm8k,gsm8k_176,improved,0,0,1077,1.0
gsm8k,gsm8k_176,standard,0,0,4087,1.0
gsm8k,gsm8k_15,baseline,0,0,3860,1.0
gsm8k,gsm8k_15,improved,0,0,11203,0.3333333333333333
